name,item_class,guide_item_type,drop_pool,is_breach_unique,base_item,tier,tier_raw,required_level,required_strength,required_dexterity,required_intelligence,attribute_requirements,has_foulborn_variant,wiki_page
Debeon's Dirge,Two Hand Axe,Two Hand Axes,core,no,Despot Axe,5,5 d,66,140,86,,"Str 140, Dex 86",no,https://www.poewiki.net/wiki/Debeon's_Dirge
Hezmana's Bloodlust,Two Hand Axe,Two Hand Axes,core,no,Vaal Axe,3,3 d,64,158,76,,"Str 158, Dex 76",no,https://www.poewiki.net/wiki/Hezmana's_Bloodlust
Kaom's Primacy,Two Hand Axe,Two Hand Axes,core,no,Karui Chopper,2,2 u,58,151,43,,"Str 151, Dex 43",yes,https://www.poewiki.net/wiki/Kaom's_Primacy
Kitava's Feast,Two Hand Axe,Two Hand Axes,core,no,Void Axe,1,1 d,68,149,76,,"Str 149, Dex 76",no,https://www.poewiki.net/wiki/Kitava's_Feast
Limbsplit,Two Hand Axe,Two Hand Axes,core,no,Woodsplitter,5,5 d,13,36,17,,"Str 36, Dex 17",no,https://www.poewiki.net/wiki/Limbsplit
Ngamahu's Flame,Two Hand Axe,Two Hand Axes,core,no,Abyssal Axe,3,3 d,55,128,60,,"Str 128, Dex 60",yes,https://www.poewiki.net/wiki/Ngamahu's_Flame
Reaper's Pursuit,Two Hand Axe,Two Hand Axes,core,no,Shadow Axe,5,5 d,33,80,37,,"Str 80, Dex 37",no,https://www.poewiki.net/wiki/Reaper's_Pursuit
Sinvicta's Mettle,Two Hand Axe,Two Hand Axes,core,no,Ezomyte Axe,5,5 d,62,140,86,,"Str 140, Dex 86",no,https://www.poewiki.net/wiki/Sinvicta's_Mettle
The Blood Reaper,Two Hand Axe,Two Hand Axes,core,no,Headsman Axe,5,5 d,45,99,57,,"Str 99, Dex 57",no,https://www.poewiki.net/wiki/The_Blood_Reaper
The Harvest,Two Hand Axe,Two Hand Axes,core,no,Jasper Chopper,4,4 d,37,100,29,,"Str 100, Dex 29",yes,https://www.poewiki.net/wiki/The_Harvest
Wideswing,Two Hand Axe,Two Hand Axes,core,no,Poleaxe,5,5 d,18,44,25,,"Str 44, Dex 25",no,https://www.poewiki.net/wiki/Wideswing
Wings of Entropy,Two Hand Axe,Two Hand Axes,core,no,Ezomyte Axe,5,5 d,62,140,86,,"Str 140, Dex 86",no,https://www.poewiki.net/wiki/Wings_of_Entropy
Dreadarc,One Hand Axe,One Hand Axes,core,no,Cleaver,5,5 d,16,48,14,,"Str 48, Dex 14",no,https://www.poewiki.net/wiki/Dreadarc
Dyadus,One Hand Axe,One Hand Axes,core,no,Infernal Axe,4,4 d,69,158,76,,"Str 158, Dex 76",no,https://www.poewiki.net/wiki/Dyadus
"Jack, the Axe",One Hand Axe,One Hand Axes,core,no,Vaal Hatchet,3,3 d,65,140,86,,"Str 140, Dex 86",no,"https://www.poewiki.net/wiki/Jack,_the_Axe"
Moonbender's Wing,One Hand Axe,One Hand Axes,core,no,Tomahawk,4,4 d,39,81,56,,"Str 81, Dex 56",yes,https://www.poewiki.net/wiki/Moonbender's_Wing
Relentless Fury,One Hand Axe,One Hand Axes,core,no,Decorative Axe,5,5 d,29,80,23,,"Str 80, Dex 23",no,https://www.poewiki.net/wiki/Relentless_Fury
Rigwald's Savagery,One Hand Axe,One Hand Axes,core,no,Royal Axe,4,4 d,67,167,57,,"Str 167, Dex 57",yes,https://www.poewiki.net/wiki/Rigwald's_Savagery
Soul Taker,One Hand Axe,One Hand Axes,core,no,Siege Axe,0,0 d,59,119,82,,"Str 119, Dex 82",no,https://www.poewiki.net/wiki/Soul_Taker
The Screaming Eagle,One Hand Axe,One Hand Axes,core,no,Jade Hatchet,5,5 d,6,21,10,,"Str 21, Dex 10",no,https://www.poewiki.net/wiki/The_Screaming_Eagle
Brain Rattler,Two Hand Mace,Two Hand Maces,core,no,Meatgrinder,3,3 d,63,212,,,Str 212,no,https://www.poewiki.net/wiki/Brain_Rattler
